⏹电视综合▶,#genre#
CCTV-7国防军事,http://118.122.103.228:4022/udp/239.93.1.67:5140
CCTV-7国防军事,http://118.122.103.228:4022/udp/239.93.0.79:5140
CCTV-8电视剧,http://118.122.103.228:4022/udp/239.93.1.227:5140
CCTV-8电视剧,http://118.122.103.228:4022/udp/239.93.0.154:5140
CCTV-8电视剧,http://118.122.103.228:4022/udp/239.93.0.203:9072
CCTV-9纪录,http://118.122.103.228:4022/udp/239.93.0.2:5140
CCTV-9纪录,http://118.122.103.228:4022/udp/239.93.1.24:5140
CCTV-9纪录,http://118.122.103.228:4022/udp/239.93.1.64:5140
CCTV-10科教,http://118.122.103.228:4022/udp/239.93.0.63:5140
CCTV-10科教,http://118.122.103.228:4022/udp/239.93.1.28:5140
CCTV-10科教,http://118.122.103.228:4022/udp/239.93.1.63:5140
CCTV-11戏曲,http://118.122.103.228:4022/udp/239.93.0.102:5140
CCTV-11戏曲,http://118.122.103.228:4022/udp/239.93.0.170:5140
CCTV-12社会与法,http://118.122.103.228:4022/udp/239.93.0.65:5140
CCTV-12社会与法,http://118.122.103.228:4022/udp/239.93.1.30:8124
CCTV-12社会与法,http://118.122.103.228:4022/udp/239.93.1.41:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.0.66:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.0.99:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.1.112:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.1.143:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.1.251:8224
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.1.98:5140
CCTV-13新闻,http://118.122.103.228:4022/udp/239.93.0.187:5140
CCTV-14少儿,http://118.122.103.228:4022/udp/239.93.1.29:6000
CCTV-14少儿,http://118.122.103.228:4022/udp/239.93.1.40:5140
CCTV-15音乐,http://118.122.103.228:4022/udp/239.93.0.103:5140
CCTV-15音乐,http://118.122.103.228:4022/udp/239.93.0.171:5140
CCTV-17农业农村,http://118.122.103.228:4022/udp/239.93.0.92:5140
CCTV-17农业农村,http://118.122.103.228:4022/udp/239.93.1.68:5140
CCTV兵器科技,http://118.122.103.228:4022/udp/239.93.1.235:5140
CCTV第一剧场,http://118.122.103.228:4022/udp/239.93.1.197:5140
CCTV风云剧场,http://118.122.103.228:4022/udp/239.93.1.156:5140
CCTV风云音乐,http://118.122.103.228:4022/udp/239.93.0.224:5140
CCTV风云足球,http://118.122.103.228:4022/udp/239.93.0.235:5140
CCTV高尔夫网球,http://118.122.103.228:4022/udp/239.93.1.54:5140
CCTV怀旧剧场,http://118.122.103.228:4022/udp/239.93.1.198:5140
CCTV世界地理,http://118.122.103.228:4022/udp/239.93.1.157:5140
CCTV央视台球,http://118.122.103.228:4022/udp/239.93.0.218:5140
CGTN英语,http://118.122.103.228:4022/udp/239.93.0.104:5140
CGTN英语,http://118.122.103.228:4022/udp/239.93.0.216:5140
CGTN英语,http://118.122.103.228:4022/udp/239.93.1.94:5140
CCTV综艺,http://118.122.103.228:4022/udp/239.93.0.195:8012
CCTV综艺,http://118.122.103.228:4022/udp/239.93.0.121:5140
CCTV综艺,http://118.122.103.228:4022/udp/239.93.0.38:5140


安徽卫视,http://118.122.103.228:4022/udp/239.93.1.106:5140
安徽卫视,http://118.122.103.228:4022/udp/239.93.1.166:5140
